16
Z G N B F P C W E D O S T K L R
0 288 0 0 175 192 0 0 0 0 0 0 0 0 0 0
288 0 135 0 0 246 145 0 0 0 0 0 0 0 0 0
0 135 0 188 0 0 177 174 0 0 0 0 0 0 0 0
0 0 188 0 0 0 0 179 0 0 0 0 0 0 213 0
175 0 0 0 0 108 0 0 0 139 0 0 0 0 0 0
192 246 0 0 108 0 110 0 187 147 203 0 0 0 0 0
0 145 177 0 0 110 0 218 172 0 0 0 0 0 0 0
0 0 174 179 0 0 218 0 115 0 0 0 146 0 153 0
0 0 0 0 0 187 172 115 0 0 168 174 130 0 0 0
0 0 0 0 139 147 0 0 0 0 82  0 0 0 0 0
0 0 0 0 0 203 0 0 168 82  0 96  0 0 0 0
0 0 0 0 0 0 0 0 174 0 96  0 124 60  0 0
0 0 0 0 0 0 0 146 130 0 0 124 0 109 142 136
0 0 0 0 0 0 0 0 0 0 0 60  109 0 0 148
0 0 0 213 0 0 0 153 0 0 0 0 142 0 0 138
0 0 0 0 0 0 0 0 0 0 0 0 136 148 138 0
